Nationality,A,B-1,B-2,"B-1,2","B-1,2 / BCC",C,C-1/D,CW,D,E,F,G,H,I,J
Montenegro,96.0,21.0,0.0,2837.0,0.0,13.0,1994.0,0.0,0.0,0.0,146.0,64.0,72.0,4.0,1163.0
Morocco,612.0,37.0,22.0,15827.0,0.0,6.0,562.0,0.0,4.0,11.0,715.0,232.0,89.0,21.0,510.0
Mozambique,166.0,209.0,414.0,312.0,0.0,22.0,8.0,0.0,0.0,0.0,131.0,137.0,10.0,14.0,90.0
Namibia,51.0,5.0,0.0,923.0,0.0,5.0,67.0,0.0,0.0,0.0,61.0,77.0,8.0,1.0,85.0
Nauru,5.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0
Nepal,194.0,31.0,4.0,18210.0,0.0,35.0,288.0,2.0,0.0,1.0,6780.0,397.0,905.0,8.0,643.0
Netherlands,429.0,154.0,3.0,2354.0,0.0,6.0,1226.0,0.0,0.0,201.0,1789.0,263.0,333.0,123.0,2860.0
New Zealand,814.0,37.0,17.0,1438.0,0.0,326.0,939.0,0.0,0.0,102.0,600.0,102.0,261.0,53.0,684.0
Nicaragua,17.0,249.0,8.0,14305.0,0.0,94.0,748.0,0.0,0.0,1.0,238.0,43.0,1075.0,22.0,182.0
Niger,192.0,4.0,2.0,551.0,0.0,1.0,0.0,0.0,0.0,0.0,162.0,226.0,7.0,0.0,31.0
Nigeria,1346.0,51.0,21.0,68975.0,0.0,37.0,92.0,0.0,3.0,2.0,9003.0,1131.0,894.0,65.0,1445.0
No Nationality,0.0,1.0,5.0,843.0,0.0,0.0,202.0,0.0,0.0,1.0,83.0,1.0,4.0,2.0,26.0
North America,,,,,,,,,,,,,,,
North Macedonia,68.0,10.0,0.0,3442.0,0.0,3.0,298.0,0.0,0.0,10.0,104.0,55.0,160.0,3.0,467.0
Norway,295.0,43.0,0.0,1260.0,0.0,4.0,649.0,0.0,0.0,89.0,1645.0,158.0,71.0,107.0,1004.0
Oceania,,,,,,,,,,,,,,,
Oman,442.0,2.0,4.0,2593.0,0.0,2.0,77.0,0.0,0.0,0.0,443.0,49.0,9.0,0.0,31.0
Pakistan,1389.0,65.0,23.0,58152.0,0.0,36.0,531.0,0.0,0.0,145.0,4109.0,528.0,2015.0,46.0,3675.0
Palau,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Palestinian Authority Travel Documen,1.0,95.0,9.0,6452.0,0.0,1.0,3.0,0.0,1.0,1.0,310.0,58.0,44.0,4.0,230.0
Panama,422.0,16.0,5.0,15112.0,0.0,51.0,1384.0,0.0,0.0,21.0,979.0,68.0,163.0,12.0,224.0
Papua New Guinea,85.0,15.0,0.0,338.0,0.0,62.0,0.0,0.0,18.0,0.0,61.0,41.0,0.0,0.0,44.0
Paraguay,179.0,90.0,0.0,7250.0,0.0,23.0,28.0,0.0,0.0,22.0,267.0,154.0,34.0,4.0,1490.0
Peru,660.0,290.0,8.0,57246.0,0.0,234.0,1964.0,0.0,0.0,29.0,2874.0,322.0,1466.0,25.0,6541.0
Philippines,1869.0,3603.0,55.0,86496.0,0.0,1342.0,77570.0,1048.0,5.0,165.0,1318.0,725.0,6155.0,43.0,5747.0
